iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
0,101,7.965429868602331,0.18343478986616382,78,60,788,1,60,1,34,40,2.5954673332254146e-05,7.990708067321474e-15,0.00035643501102071597
1,174,2.3089382562214906,0.24102546602601177,118,106,8072,1,106,1,32,40,6.345911218259272e-09,2.123570119912615e-12,1.2111703906047242e-06
2,915,7.113419527486501,0.7901755405312059,554,847,18348,1,847,1,411,40,8.57219486921491e-10,5.0287499657072697e-05,4.5160392297354054e-05
3,219,8.80467839015258,0.6243540481337934,64,23,1794,1,23,1,193,40,8.982707852486226e-14,5.020713148070761e-10,0.3230390799857618
4,448,0.3305073290054839,0.34507124802668304,284,304,5166,1,304,1,266,40,8.212422742025565e-10,7.491331446773198e-12,0.007083307602949512
5,965,1.749549270959362,0.9821683433294358,498,251,94850,1,251,1,852,40,2.8969542819523714e-11,0.00016059250761501676,0.03520288653352376
6,487,5.088140768387602,0.6363326181858955,121,287,44190,1,287,1,212,40,2.097267333729619e-05,5.044114711760103e-05,0.06709359165416116
7,323,2.0891871761536023,0.6711435168240507,115,82,1260,1,82,1,44,40,7.000348006592228e-07,5.5483301853433055e-11,5.2058746072060924e-09
8,412,2.7154291581974195,0.96525183039077,188,346,1010,1,346,1,57,40,3.255291422232557,0.00027134490222928257,4.540255239630545e-15
9,18,0.9179906581344189,0.09415698826856014,5,17,42,1,17,1,15,40,2.721328732197831e-08,2.4910297958976533e-05,5.874119632783976e-15
10,386,3.77259083227976,0.038963132310233635,238,129,7908,1,129,1,131,40,8.641701654751093e-08,0.00012196795412313409,3.7444296132431394e-10
11,483,9.585414968831985,0.84714314409559,171,462,10902,1,462,1,40,40,4.3556684522544885e-06,7.231840473860449e-07,2.5330649194612573e-12
12,482,2.366851936820788,0.9076937063485465,285,168,12574,1,168,1,340,40,1.923270916534933e-10,8.937776940726982e-09,1.1452881889256941e-11
13,915,2.944939468394299,0.9958313750293709,637,351,27268,1,351,1,53,40,5.106190990219627e-14,2.347259128735185e-10,5.186548726211928e-13
14,570,9.852860506655045,0.37673896993794087,427,224,25954,1,224,1,21,40,1.6548225763193565e-15,1.6059978725577452e-14,0.00011679664148151032
15,805,5.899558971376361,0.48004596701847524,338,631,15294,1,631,1,497,40,5.362972779776558e-06,1.5357097655756547e-05,7.534418451590874e-07
16,602,6.965014662270791,0.4116612143575282,526,310,53190,1,310,1,495,40,3.646762092437434e-10,3.2275643049115907e-15,6.017899730708757e-07
17,867,1.3311692858747828,0.6871655054033312,732,649,998,1,649,1,344,40,0.0006287576723089049,8.251673880414617e-13,1.0554592546579133e-06
18,842,4.87809800808738,0.8508175178361465,74,678,1088,1,678,1,15,40,9.038337542310527,0.22169924166323746,1.6442758752623254e-06
19,140,5.486031179381533,0.5489219798889774,28,95,210,1,95,1,16,40,4.984597517961934e-06,0.005112475025222432,5.0955140311756374e-14
20,188,8.740788848975194,0.6367176291428355,52,17,1470,1,17,1,165,40,2.656905478545522e-14,2.2783293282157118e-10,0.5673444001896883
21,692,7.848136526351518,1.0,1,184,880,1,184,1,165,40,1.8342165325719525e-07,0.03711205828444718,10.0
22,163,0.8739656950548269,0.8267432681257713,97,28,1066,1,28,1,66,40,0.0002881076694887592,8.174397888899467e-09,0.030036164630879138
23,263,10.0,0.29334261632705116,60,35,2270,1,35,1,263,40,5.044320390372236e-14,5.0216520088963685e-11,0.00035114270391221186
24,181,10.0,0.6370698031470858,52,9,1548,1,9,1,181,40,8.378969431423148e-15,2.525041200349267e-11,4.88127107167355
25,208,8.682275094566123,0.6217119004087761,60,21,1366,1,21,1,186,40,1.400063871100298e-13,6.927975728365157e-10,0.15556745578482717
26,221,8.477646470513122,0.5584376889856315,66,20,934,1,20,1,194,40,5.005885000697049e-12,1.3263749715186958e-09,0.10015824985488107
27,110,8.738749270141556,0.5244280094415671,27,9,336,1,9,1,110,40,3.52041088209587e-13,2.30413460620402e-09,0.029603198512687733
28,800,8.515693611680371,0.6136199923083949,398,73,3962,1,73,1,612,40,7.928519929875588e-05,9.010867319805686e-05,0.036058315967851196
29,214,7.498846471477053,0.2847656058454137,9,20,1090,1,20,1,70,40,0.0014860953150264025,1.0263967397396894e-13,0.01435665879463141
30,216,8.75861613104165,0.7009746447894893,123,21,1140,1,21,1,175,40,1.5193739491044007e-14,1.1068482848341159e-05,1.5017099367764487e-08
31,615,9.664452797860097,0.22051677210289133,174,58,3034,1,58,1,158,40,5.826487167838607e-10,3.135368267077449e-10,0.0014335458573079675
32,203,4.875351332982738,0.05344896840252857,48,91,976,1,91,1,85,40,2.7890532903185042e-15,6.794689840216923e-13,0.43224709943286654
33,199,9.099057855753092,0.7613617711773152,50,82,952,1,82,1,174,40,0.0005979779304779052,6.798244226341585e-09,0.8751606220813472
34,194,8.186021493397677,0.7760041882829867,157,16,976,1,16,1,146,40,3.9910034995505655e-14,1.846253322411279e-11,0.1948923812907241
