iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
0,101,7.965429868602331,0.18343478986616382,78,60,788,1,60,1,34,40,2.5954673332254146e-05,7.990708067321474e-15,0.00035643501102071597
1,174,2.3089382562214906,0.24102546602601177,118,106,8072,1,106,1,32,40,6.345911218259272e-09,2.123570119912615e-12,1.2111703906047242e-06
2,915,7.113419527486501,0.7901755405312059,554,847,18348,1,847,1,411,40,8.57219486921491e-10,5.0287499657072697e-05,4.5160392297354054e-05
3,219,8.80467839015258,0.6243540481337934,64,23,1794,1,23,1,193,40,8.982707852486226e-14,5.020713148070761e-10,0.3230390799857618
4,448,0.3305073290054839,0.34507124802668304,284,304,5166,1,304,1,266,40,8.212422742025565e-10,7.491331446773198e-12,0.007083307602949512
5,965,1.749549270959362,0.9821683433294358,498,251,94850,1,251,1,852,40,2.8969542819523714e-11,0.00016059250761501676,0.03520288653352376
6,487,5.088140768387602,0.6363326181858955,121,287,44190,1,287,1,212,40,2.097267333729619e-05,5.044114711760103e-05,0.06709359165416116
7,323,2.0891871761536023,0.6711435168240507,115,82,1260,1,82,1,44,40,7.000348006592228e-07,5.5483301853433055e-11,5.2058746072060924e-09
8,412,2.7154291581974195,0.96525183039077,188,346,1010,1,346,1,57,40,3.255291422232557,0.00027134490222928257,4.540255239630545e-15
9,18,0.9179906581344189,0.09415698826856014,5,17,42,1,17,1,15,40,2.721328732197831e-08,2.4910297958976533e-05,5.874119632783976e-15
10,386,3.77259083227976,0.038963132310233635,238,129,7908,1,129,1,131,40,8.641701654751093e-08,0.00012196795412313409,3.7444296132431394e-10
11,483,9.585414968831985,0.84714314409559,171,462,10902,1,462,1,40,40,4.3556684522544885e-06,7.231840473860449e-07,2.5330649194612573e-12
12,482,2.366851936820788,0.9076937063485465,285,168,12574,1,168,1,340,40,1.923270916534933e-10,8.937776940726982e-09,1.1452881889256941e-11
13,915,2.944939468394299,0.9958313750293709,637,351,27268,1,351,1,53,40,5.106190990219627e-14,2.347259128735185e-10,5.186548726211928e-13
14,570,9.852860506655045,0.37673896993794087,427,224,25954,1,224,1,21,40,1.6548225763193565e-15,1.6059978725577452e-14,0.00011679664148151032
15,805,5.899558971376361,0.48004596701847524,338,631,15294,1,631,1,497,40,5.362972779776558e-06,1.5357097655756547e-05,7.534418451590874e-07
16,602,6.965014662270791,0.4116612143575282,526,310,53190,1,310,1,495,40,3.646762092437434e-10,3.2275643049115907e-15,6.017899730708757e-07
17,867,1.3311692858747828,0.6871655054033312,732,649,998,1,649,1,344,40,0.0006287576723089049,8.251673880414617e-13,1.0554592546579133e-06
18,842,4.87809800808738,0.8508175178361465,74,678,1088,1,678,1,15,40,9.038337542310527,0.22169924166323746,1.6442758752623254e-06
19,140,5.486031179381533,0.5489219798889774,28,95,210,1,95,1,16,40,4.984597517961934e-06,0.005112475025222432,5.0955140311756374e-14
20,802,0.0,0.5247539373022663,294,666,1264,1,666,1,645,40,8.535187624923497e-14,2.6458400295091675e-10,0.0001977950233220176
21,453,3.8450174214522566,0.05066372997400177,87,419,5544,1,419,1,55,40,0.00041029169929572703,0.004717131041325872,1.1636143353068675e-07
22,426,0.0,0.5290694808418765,318,338,24564,1,338,1,411,40,1.4885853897210402e-11,4.0123128600418536e-13,0.009889410484172398
23,433,0.0,0.5879159145917362,302,4,17284,1,4,1,180,40,2.1698683013936035e-10,2.7729660375106803e-13,1.8703528414042303e-08
24,540,1.9353690384576319,0.1820055720789321,441,405,5296,1,405,1,319,40,2.963940664602344e-07,1.6725933628710934e-09,3.938904787993076e-06
25,947,0.0,0.3417340461464576,818,445,7164,1,445,1,920,40,0.3178977252921939,2.0414575187076175e-12,0.00017528189033554878
26,720,4.340067254328495,0.004563801895230412,484,488,10048,1,488,1,105,40,0.0026633234998156723,1.268138103338024e-15,4.62339762238078
27,43,0.20796719521193258,0.3427382169837656,39,36,382,1,36,1,22,40,2.0277691403107226e-07,3.4390166983293135e-15,0.0004403815738503676
28,1,4.582588773541662,0.3598814696127801,1,1,80,1,1,1,0,40,0.0913080167794286,0.07740371904577754,0.011666912938103537
29,732,7.8181715440669635,0.3491005451010103,596,185,5424,1,185,1,388,40,0.0013058784440618703,6.121142293297911,8.697488768540861e-10
30,344,0.09722832464049092,0.28259133696083144,211,114,3136,1,114,1,180,40,7.663316308735225e-13,3.2089833683673673e-09,1.3925611183798026e-10
31,385,0.13858970281903157,0.26355577567072885,65,365,3544,1,365,1,201,40,1.194403117790799e-13,1.9606344129740546e-11,0.002312527072288614
32,437,0.03809060971770425,0.6726653244905552,437,363,4334,1,363,1,236,40,0.0007347539470839222,6.931137143024351e-05,1.010711060838909e-06
33,284,0.17414383986256143,0.275141440812537,284,36,2874,1,36,1,150,40,0.00048138245342496915,7.531567087617848e-14,0.00717085449854489
34,55,0.039796868200613636,0.3650051164341124,50,55,522,1,55,1,9,40,2.209688710107698e-09,1.3229258275708718e-05,1.4626852341767995e-07
