iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval
0,101,7.965429868602331,0.18343478986616382,78,60,788,46,60,46,3370,1429
1,684,5.632882178455394,0.3854165025399162,10,157,2076,61,157,61,56991,1734
2,200,0.15636406741193934,0.42340148070636974,78,58,214,71,58,71,15804,6060
3,204,5.632755719763837,0.6955160864261276,28,123,2452,94,123,94,12217,6948
4,697,5.581020020173413,0.4038361710580409,45,176,2174,72,176,72,10322,9977
5,941,2.2024104756554834,0.7111495324380179,761,328,1466,40,328,40,48720,8377
6,306,5.806866214364548,0.37228276656174314,287,297,1132,49,297,49,13722,9945
7,748,0.43603771754433757,0.9945505107973412,351,209,43742,95,209,95,24740,5528
8,72,6.115137108656806,0.08159418040024037,1,45,178,40,45,40,366,8866
9,252,7.145951041799522,0.041067516767875796,100,109,7754,19,109,19,2038,4283
10,949,8.069129770507796,0.34630432108940085,440,616,1186,89,616,89,24759,153
11,497,6.5572263538074225,0.38539662096556515,338,169,1652,70,169,70,17312,9366
12,494,8.4714314409559,0.3549051904627207,472,334,4558,9,334,9,4530,6024
13,351,8.63138521989004,0.880359968638417,83,318,5360,71,318,71,16907,3780
14,295,2.529901679892412,0.6954111231066477,22,49,802,100,49,100,20559,3842
15,412,9.191765518355599,0.08274842003530615,361,227,882,78,227,78,19791,9853
16,832,0.4689646779121993,0.2686724820253074,18,414,7458,31,414,31,67923,9680
17,210,7.689177413153977,0.06623597785186587,9,130,1042,58,130,58,7173,5373
18,868,6.877847170960831,0.5116570135472613,136,327,880,9,327,9,51844,9863
19,737,4.739699414305562,0.3551043032793048,478,353,10862,56,353,56,43228,5645
20,536,9.750671629451427,0.4907487792587846,387,439,14660,48,439,48,44948,2051
21,991,1.0669925011343608,0.8507274600164549,739,404,72770,21,404,21,37582,9264
22,694,2.290253909247964,0.542849310613409,299,230,20066,18,230,18,60977,4954
23,424,5.990293647773266,0.8267988278090785,406,145,1210,30,145,30,26074,9119
24,604,6.078943937942588,0.37930569838554895,449,124,22732,12,124,12,25036,8635
25,1,0.0,0.003152576427096,1,1,2,1,1,1,100,10000
26,1,0.0,0.7336170152735586,1,1,2,70,1,70,100,0
