iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
0,101,7.965429868602331,0.18343478986616382,78,60,788,46,60,46,34,1430,2.5954673332254146e-05,7.990708067321474e-15,0.00035643501102071597
1,833,0.15966252220214197,0.23089382562214905,200,569,13826,18,569,18,326,1824,0.001218379449419064,6.345911218259272e-09,2.123570119912615e-12
2,926,0.14079822715084458,0.1988424040888052,658,731,15086,65,731,65,847,8501,1.5531406488178544e-08,3.3617225228838155e-14,8.57219486921491e-10
3,296,9.428535705579812,0.5988654664885361,205,260,5250,11,260,11,135,2186,4.614866752481452e-09,0.13567009924730244,1.5471069464083295e-10
4,346,9.977404850489421,0.26678101427528506,337,142,404,64,142,64,236,5310,1.4605977697721504e-08,7.019229222807897e-07,3.041918555659413e-06
5,176,7.352161192407722,0.20907162073771374,95,122,506,98,122,98,91,2610,8.710823139720942,2.7971104812161918,8.564366769632403e-07
6,543,1.7882270922132883,0.36646878458286,404,391,2244,51,391,51,346,2506,2.741154793814859e-06,4.595002292536018,6.135845948799798e-08
7,930,2.684748568901569,0.4852798742763158,346,367,45386,8,367,8,194,6712,5.474550934458935e-10,1.1657847909065305e-11,5.304560593781369e-11
8,538,8.389335020693636,0.8604046183116755,134,20,2176,33,20,33,445,2717,2.7799007215087777,2.071297999951398e-08,0.029673529083777687
9,566,5.166962574265668,0.657111328500167,246,413,706,17,413,17,68,3420,2.942964700809004e-14,3.21005011259501e-14,9.607556569091433e-11
10,821,5.733670416719335,0.1285003532339102,665,673,14664,65,673,65,170,2741,2.7128508376322917e-12,1.0867892442795275e-09,4.201555618800983e-15
11,535,2.3859685979034024,0.6798447799002459,395,127,3048,50,127,50,208,2978,3.9788557512065064e-14,7.17405576119046e-15,2.1710206289929466
12,892,8.668687053108416,0.8384807637639853,380,198,5544,16,198,16,458,2334,1.9993400957379956e-06,0.06459759537536301,0.12183147388310107
13,44,4.363358316065561,0.8021092490267343,43,24,196,93,24,93,40,2531,0.00013383754746561498,1.6104704238053073e-14,4.565064420830578e-13
14,582,2.7095764251512993,0.13318512522374973,44,547,3966,92,547,92,48,8767,6.689689501880183e-07,4.338585677112026e-13,3.802610695262434e-09
15,269,2.7473179702590884,0.2072276490080565,236,203,334,3,203,3,134,4763,0.02004212844088985,8.40302849657499e-11,0.011539095386525016
16,621,4.593468079461726,0.8420914150187099,477,41,768,35,41,35,130,5797,2.9175033762789986e-10,3.946523265756254e-07,2.3009466211305297e-08
17,868,6.877847170960831,0.5116570135472613,136,327,880,9,327,9,518,9863,3.8499078613455357e-07,0.6090713141518879,5.9960401171315224e-12
18,587,6.488228402915761,0.4795821017542503,342,432,7660,57,432,57,222,3376,0.2479467124548042,5.25876249224294e-06,8.121766276059529e-12
19,968,7.184572708365538,0.5350367320449106,461,811,2490,71,811,71,193,7363,3.0022051865422786e-07,0.0002068623863230778,0.0019251830222819298
20,894,0.0,0.0,80,663,13508,65,663,65,511,2,1.1199319165114941e-12,4.6197631349998625e-10,7.058074316790512e-09
21,860,0.0,0.0,1,860,17084,61,860,61,234,3475,0.0017652624946360607,0.0002424953028021584,4.983872196686353e-13
22,667,1.6100170081042686,0.18404579986278952,573,212,4064,22,212,22,207,1673,1.1377445679227077e-12,6.02268143860492e-08,5.580365771094166e-05
23,740,1.3162855947644783,0.23923855534635818,147,533,13274,2,533,2,267,341,0.35672049093550323,7.345900229907119e-11,9.892792260264038e-14
24,260,9.559893914251024,0.817327765550929,69,258,26000,18,258,18,209,6739,5.8404232818315004e-09,7.668558407248497e-12,0.011663608442897726
25,838,6.440099575894331,0.22915958938037242,810,622,1322,28,622,28,446,4838,2.7116297116909646e-10,7.28413044136631e-11,2.679194857379578e-10
26,785,9.629551386557234,0.9962718272300476,258,321,25656,34,321,34,736,1906,5.81328162775189e-12,4.24741643777339e-10,0.00013644463257038355
27,699,0.0,0.3728131216434188,96,454,20098,1,454,1,429,1689,0.0023098823895684835,2.1821317220535708e-10,1.328528077958863e-08
28,5,0.04960882459110861,0.738821046841063,3,1,32,96,1,96,3,9463,1.62451821985323e-13,5.187655712576749,1.6984598105985735
29,765,0.8624588848094992,0.19709496910797397,146,583,10974,19,583,19,380,1626,0.04953123110646117,1.280694294611042e-06,1.0475130419896535e-13
30,633,3.9569973003023917,0.011519906130610214,303,436,3074,21,436,21,249,1432,8.118706102754258e-06,0.0002417299974490586,1.4023513740754712e-06
31,978,0.26311728513132715,0.25933126921360405,346,929,67462,57,929,57,396,2833,4.3955168283460535e-09,8.022022947032022e-08,1.3375558410748919e-05
32,325,1.6800792500039632,0.22936721408801336,107,150,6390,3,150,3,271,2575,6.2186687471831206e-06,1.9270577183055998e-08,5.81216129037038e-10
33,50,9.020753943186538,0.3056451277443398,14,1,4656,66,1,66,47,9959,1.7318580267061092e-15,6.96145823815113e-14,1.868229206628985e-15
34,835,1.6070960997800339,0.482145811528261,288,381,36010,68,381,68,103,1684,1.8369927986191219e-06,2.1503166212244187e-12,5.737360666460375e-13
35,141,0.0,0.596381695111612,11,30,2738,8,30,8,24,1839,1.0115991764487205e-06,0.49507316673830265,0.005696913762022193
36,824,9.960195046745053,0.9796481354174215,824,437,71642,100,437,100,343,497,0.0003075865791394401,3.2840356862262933e-07,10.0
37,1,0.0,1.0,1,1,100,100,1,100,1,10000,10.0,1e-15,1e-15
38,226,0.0,0.7032904067034381,56,20,538,50,20,50,76,549,5.21145600466381e-06,3.314169604810063e-08,2.500902124519929e-15
39,104,0.3559564807563598,0.929418659492072,82,92,106,99,92,99,101,9158,0.14149042740589898,2.7783952262234555e-13,0.0005431416542006216
