iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
0,101,7.965429868602331,0.18343478986616382,78,60,788,1,60,1,34,40,2.5954673332254146e-05,7.990708067321474e-15,0.00035643501102071597
1,174,2.3089382562214906,0.24102546602601177,118,106,8072,1,106,1,32,40,6.345911218259272e-09,2.123570119912615e-12,1.2111703906047242e-06
2,915,7.113419527486501,0.7901755405312059,554,847,18348,1,847,1,411,40,8.57219486921491e-10,5.0287499657072697e-05,4.5160392297354054e-05
3,219,8.80467839015258,0.6243540481337934,64,23,1794,1,23,1,193,40,8.982707852486226e-14,5.020713148070761e-10,0.3230390799857618
4,448,0.3305073290054839,0.34507124802668304,284,304,5166,1,304,1,266,40,8.212422742025565e-10,7.491331446773198e-12,0.007083307602949512
5,965,1.749549270959362,0.9821683433294358,498,251,94850,1,251,1,852,40,2.8969542819523714e-11,0.00016059250761501676,0.03520288653352376
6,487,5.088140768387602,0.6363326181858955,121,287,44190,1,287,1,212,40,2.097267333729619e-05,5.044114711760103e-05,0.06709359165416116
7,323,2.0891871761536023,0.6711435168240507,115,82,1260,1,82,1,44,40,7.000348006592228e-07,5.5483301853433055e-11,5.2058746072060924e-09
8,412,2.7154291581974195,0.96525183039077,188,346,1010,1,346,1,57,40,3.255291422232557,0.00027134490222928257,4.540255239630545e-15
9,18,0.9179906581344189,0.09415698826856014,5,17,42,1,17,1,15,40,2.721328732197831e-08,2.4910297958976533e-05,5.874119632783976e-15
10,386,3.77259083227976,0.038963132310233635,238,129,7908,1,129,1,131,40,8.641701654751093e-08,0.00012196795412313409,3.7444296132431394e-10
11,483,9.585414968831985,0.84714314409559,171,462,10902,1,462,1,40,40,4.3556684522544885e-06,7.231840473860449e-07,2.5330649194612573e-12
12,482,2.366851936820788,0.9076937063485465,285,168,12574,1,168,1,340,40,1.923270916534933e-10,8.937776940726982e-09,1.1452881889256941e-11
13,915,2.944939468394299,0.9958313750293709,637,351,27268,1,351,1,53,40,5.106190990219627e-14,2.347259128735185e-10,5.186548726211928e-13
14,570,9.852860506655045,0.37673896993794087,427,224,25954,1,224,1,21,40,1.6548225763193565e-15,1.6059978725577452e-14,0.00011679664148151032
15,805,5.899558971376361,0.48004596701847524,338,631,15294,1,631,1,497,40,5.362972779776558e-06,1.5357097655756547e-05,7.534418451590874e-07
16,602,6.965014662270791,0.4116612143575282,526,310,53190,1,310,1,495,40,3.646762092437434e-10,3.2275643049115907e-15,6.017899730708757e-07
17,867,1.3311692858747828,0.6871655054033312,732,649,998,1,649,1,344,40,0.0006287576723089049,8.251673880414617e-13,1.0554592546579133e-06
18,842,4.87809800808738,0.8508175178361465,74,678,1088,1,678,1,15,40,9.038337542310527,0.22169924166323746,1.6442758752623254e-06
19,140,5.486031179381533,0.5489219798889774,28,95,210,1,95,1,16,40,4.984597517961934e-06,0.005112475025222432,5.0955140311756374e-14
20,228,8.337850456597248,0.7076939821464862,63,17,1852,1,17,1,203,40,8.555940451310073e-14,2.2565497165822266e-09,0.5919757399830469
21,575,10.0,0.46354518440028936,1,271,660,1,271,1,84,40,1.7036587160300137e-13,1.3785067731332014e-10,8.153244394206245
22,201,8.862305696046258,0.5933166224378376,64,26,1708,1,26,1,180,40,2.0952321858561024e-13,4.829398178403838e-10,0.3321763782219847
23,1000,10.0,1.0,187,97,4936,1,97,1,730,40,0.29121320299996306,3.4775003564993915e-08,0.9114883764550884
24,1,9.374438813514777,0.340638274610188,1,1,12,1,1,1,1,40,1.2689041539180875e-12,1.9093100425958992e-10,0.1395954488699478
25,696,8.89414876182408,0.4198006586960972,231,170,2940,1,170,1,432,40,4.9325481547008866e-09,4.604875093783824e-10,0.0021268040558123018
26,38,0.44106289351720906,0.30925743918072107,11,4,308,1,4,1,32,40,7.67074574166973e-14,8.773566237754516e-05,10.0
27,200,8.88520973947819,0.5664736392115183,64,31,1748,1,31,1,180,40,9.052398478471382e-13,5.634847791302252e-10,0.32020715282137946
28,606,8.783760190894482,0.9507732372484671,336,287,4660,1,287,1,538,40,2.118950530994952e-15,0.35049802731946267,1.0336307378562435e-05
29,1,9.227045369833784,0.5009946439319258,1,1,8,1,1,1,1,40,1.5559210286561886e-14,2.6842582040074865e-10,0.0009111796569198944
30,301,8.15594820352189,0.007244109550463089,134,118,626,1,118,1,269,40,1.3355312070879275e-13,4.4248095171075235e-10,0.004009383922203519
31,26,5.436216696163987,0.62951818417569,1,14,742,1,14,1,23,40,1.3011386308211338e-13,4.4464265691798293e-10,1.3879338202290956e-09
32,452,8.98716757863954,0.6012368422616006,437,126,5768,1,126,1,403,40,1.4223562499540863e-13,8.006096847641457e-10,0.5402888779399447
33,556,9.153027096469765,0.5903808661956467,316,319,42366,1,319,1,495,40,2.813679097826587e-14,3.266186414152789e-10,0.13760008331174253
34,572,4.823616102391381,0.5127660879036848,75,523,4820,1,523,1,511,40,1.2854424904061464e-13,4.392520634400257e-10,2.32019804327394e-07
