iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval,tau,tauPrime,adaptationBoundary
0,101,7.965429868602331,0.18343478986616382,78,60,788,46,60,46,34,1430,2.5954673332254146e-05,7.990708067321474e-15,0.00035643501102071597
1,174,2.3089382562214906,0.24102546602601177,118,106,8072,40,106,40,32,7554,6.345911218259272e-09,2.123570119912615e-12,1.2111703906047242e-06
2,915,7.113419527486501,0.7901755405312059,554,847,18348,85,847,85,411,955,8.57219486921491e-10,5.0287499657072697e-05,4.5160392297354054e-05
3,219,8.80467839015258,0.6243540481337934,64,23,1794,42,23,42,193,3244,8.982707852486226e-14,5.020713148070761e-10,0.3230390799857618
4,448,0.3305073290054839,0.34507124802668304,284,304,5166,56,304,56,266,809,8.212422742025565e-10,7.491331446773198e-12,0.007083307602949512
5,965,1.749549270959362,0.9821683433294358,498,251,94850,56,251,56,852,1888,2.8969542819523714e-11,0.00016059250761501676,0.03520288653352376
6,487,5.088140768387602,0.6363326181858955,121,287,44190,91,287,91,212,3501,2.097267333729619e-05,5.044114711760103e-05,0.06709359165416116
7,323,2.0891871761536023,0.6711435168240507,115,82,1260,85,82,85,44,7089,7.000348006592228e-07,5.5483301853433055e-11,5.2058746072060924e-09
8,412,2.7154291581974195,0.96525183039077,188,346,1010,70,346,70,57,1328,3.255291422232557,0.00027134490222928257,4.540255239630545e-15
9,18,0.9179906581344189,0.09415698826856014,5,17,42,77,17,77,15,3464,2.721328732197831e-08,2.4910297958976533e-05,5.874119632783976e-15
10,386,3.77259083227976,0.038963132310233635,238,129,7908,68,129,68,131,2608,8.641701654751093e-08,0.00012196795412313409,3.7444296132431394e-10
11,483,9.585414968831985,0.84714314409559,171,462,10902,50,462,50,40,918,4.3556684522544885e-06,7.231840473860449e-07,2.5330649194612573e-12
12,482,2.366851936820788,0.9076937063485465,285,168,12574,38,168,38,340,2488,1.923270916534933e-10,8.937776940726982e-09,1.1452881889256941e-11
13,915,2.944939468394299,0.9958313750293709,637,351,27268,96,351,96,53,3946,5.106190990219627e-14,2.347259128735185e-10,5.186548726211928e-13
14,570,9.852860506655045,0.37673896993794087,427,224,25954,7,224,7,21,1339,1.6548225763193565e-15,1.6059978725577452e-14,0.00011679664148151032
15,805,5.899558971376361,0.48004596701847524,338,631,15294,90,631,90,497,9805,5.362972779776558e-06,1.5357097655756547e-05,7.534418451590874e-07
16,602,6.965014662270791,0.4116612143575282,526,310,53190,23,310,23,495,3451,3.646762092437434e-10,3.2275643049115907e-15,6.017899730708757e-07
17,867,1.3311692858747828,0.6871655054033312,732,649,998,36,649,36,344,1050,0.0006287576723089049,8.251673880414617e-13,1.0554592546579133e-06
18,842,4.87809800808738,0.8508175178361465,74,678,1088,6,678,6,15,6970,9.038337542310527,0.22169924166323746,1.6442758752623254e-06
19,140,5.486031179381533,0.5489219798889774,28,95,210,1,95,1,16,4732,4.984597517961934e-06,0.005112475025222432,5.0955140311756374e-14
